Active Status,Type,Item,Description,Account, Cost , Price 
Active,Service,Blocking,(If Needed) ..Installation of material into framing for post attachment.,4000 · Sales:4500 · Shop,  $-    ,30
Active,Service,Delivery Charge, Within 50 miles from Portland,4000 · Sales:4400 · Shipping, $-   ,75
Active,Service,Drilled Holes,Holes to be drilled in post for cable jobs (Post on stairs can not be drilled in shop),4000 · Sales:4500 · Shop,8.5,17
Active,Service,GATE-ASSEMBLY CHARGE,Gate Assembly Charge,4000 · Sales:4500 · Shop, $-   ,100
Active,Inventory Part,"1/2 x 4-1/2"" SS Hex Head Bolt","1/2"" x 4-1/2"" SS Hex Head Bolt",4000 · Sales:4100 · Distribution,0.78,1.5
Active,Inventory Part,"1/2 x 5"" SS Hex Head Bolt","1/2"" x 5"" SS Hex Head Bolt",4000 · Sales:4100 · Distribution,0.78,1.5
Active,Inventory Part,"1/2""-13x3-3/4"" Hex Bolt","1/2"" x 3-3/4"" SS Hex Bolt",4000 · Sales:4100 · Distribution,0.71,1.5
Active,Inventory Part,"1/2"" SS Hex Nut","1/2"" Stainless Steel Hex Nut",4000 · Sales:4100 · Distribution,0.3,0.25
Active,Inventory Part,"1/2"" Stainless Flat Washer","1/2"" Stainless Steel Flat Washer",4000 · Sales:4100 · Distribution,0.07,0.15
Active,Inventory Part,"1/2"" Stainless Lock Washer","1/2"" Stainless steel split lock washer",4000 · Sales:4100 · Distribution,0.19,0.15
Active,Inventory Part,"1/2"" x 3"" SS Lag Screw","1/2"" x 3"" Stainless Steel Lag Screw",4000 · Sales:4100 · Distribution,0.65,1.4
Active,Inventory Part,"1/2"" x 4"" SS Lag Screw","1/2"" x 4"" Stainless Steel Lag Screw",4000 · Sales:4100 · Distribution,0.49,2
Active,Inventory Part,142015,Base Plate Screws,4000 · Sales:4100 · Distribution,0.19,0.75
Active,Inventory Part,1x2 Grab Rail End Cap,End Cap for 1x2 Grab Rail,4000 · Sales:4100 · Distribution,11.25,22.5
Active,Inventory Part,200EP POW Blk,Top Rail End Plate w/Screws- Black,4000 · Sales:4100 · Distribution,1.33,16.6
Active,Inventory Part,200EP POW Br,Top Rail End Plate w/Screws- Bronze,4000 · Sales:4100 · Distribution,1.33,16.6
Active,Inventory Part,200EP POW Cl,Top Rail End Plate w/Screws- Clear Anodized,4000 · Sales:4100 · Distribution,8.62,22.58
Active,Inventory Part,200EP POW Mil,Top Rail End Plate w/Screws- Mill Finish,4000 · Sales:4100 · Distribution,1.09,16.6
Active,Inventory Part,200EP POW W,Top Rail End Plate w/Screws- White,4000 · Sales:4100 · Distribution,1.47,16.6
Active,Inventory Part,22-ST20,Hand Swage Tool (Item can be returned for 75% Refund),4000 · Sales:4100 · Distribution,73.5,140
Active,Inventory Part,22-WRC13-3,"Wire/cable cutter, 3/8-inch capacity (Item can be returned for 75% refund)",4000 · Sales:4100 · Distribution,65.1,140
Active,Inventory Part,225 EP,End Plate for TR225,4000 · Sales:4100 · Distribution,3.05,10
Active,Inventory Part,225 EP Extended,Extended End Plate for TR225,4000 · Sales:4100 · Distribution,4.7,15
Active,Inventory Part,"3"" x 2"" x 0.25 x 25' Angle","3"" x 2"" x 0.25"" x 25' American Standard Aluminum Angle 6061-T6 - Mill Finish..",4000 · Sales:4100 · Distribution,107.25,215
Active,Inventory Part,"3"" x 2"" x 0.375 x 25' Angle","3"" x 2"" x 0.375"" x 25' American Standard Aluminum Angle 6061-T6 - Mill Finish..",4000 · Sales:4100 · Distribution,152.58,215
Active,Inventory Part,3/8 SS Hex Nut,3/8 Stainless Steel Hex Nut,4000 · Sales:4100 · Distribution,0.08,0.2
Active,Inventory Part,3/8 SS Lock Washer,"3/8"" Stainless Steel Medium Lock washer",4000 · Sales:4100 · Distribution,0.03,0.12
Active,Inventory Part,"3/8 x 3-1/2"" SS Hex Cap Bolt","3/8"" x 3-1/2"" SS Hex Cap Screw",4000 · Sales:4100 · Distribution,0.36,0.8
Active,Inventory Part,"3/8 x 3"" SS Hex Cap Bolt","3/8"" x 3"" SS Hex Cap Screw",4000 · Sales:4100 · Distribution,0.32,1.2
Active,Inventory Part,"3/8 x 4-1/2"" SS Hex Cap Bolt","3/8"" x 4-1/2"" SS Hex Cap Screw",4000 · Sales:4100 · Distribution,0.43,1.15
Active,Inventory Part,"3/8 x 4"" SS Hex Cap Bolt","3/8"" x 4"" SS Hex Cap Screw",4000 · Sales:4100 · Distribution,0.38,0.95
Active,Inventory Part,"3/8 x 5"" SS Hex Cap Bolt","3/8"" x 5"" SS Hex Cap Screw",4000 · Sales:4100 · Distribution,0.48,1.3
Active,Inventory Part,3/8 x 6 HDG Lag Screw,"3/8"" x 6"" Hot Dipped Galvanized Lag Screw",4000 · Sales:4100 · Distribution,0.15,0.85
Active,Inventory Part,3/8 x 7 HDG Lag Screw,"3/8"" x 7"" Hot Dipped Galvanized Lag Screw",4000 · Sales:4100 · Distribution,0.21,1
Active,Inventory Part,3/8 x 8 HDG Lag Screw,"3/8"" x 8"" Hot Dipped Galvanized Lag Screw",4000 · Sales:4100 · Distribution,0.24,1.15
Active,Inventory Part,"3/8"" Stainless Flat Washer","3/8"" SS Flat washer",4000 · Sales:4100 · Distribution,0.06,0.14
Active,Inventory Part,"3/8"" x 4"" HDG Lag Screw","3/8"" x 4"" HDG Lag Screw",4000 · Sales:4100 · Distribution,0.37,0.85
Active,Inventory Part,"3/8"" x 4"" SS Lag Screw","3/8"" x 4"" Stainless Steel Lag Screw",4000 · Sales:4100 · Distribution,0.75,1.5
Active,Inventory Part,"3/8"" x 5"" SS Lag Screw","3/8"" x 5"" Stainless Steel Lag Screw",4000 · Sales:4100 · Distribution,0.6,2.25
Active,Inventory Part,"3/8"" x 6"" SS FULL THREAD Lag","3/8"" x 6"" Stainless Steel Fully Threaded Lag Screw",4000 · Sales:4100 · Distribution,0.65,2
Active,Inventory Part,"3/8"" x 6"" SS Lag Screw","3/8"" x 6"" Stainless Steel Lag Screw",4000 · Sales:4100 · Distribution,0.73,1.75
Active,Inventory Part,"3/8"" x 7"" SS Lag Screw","3/8"" x 7"" Stainless Steel Lag Screw",4000 · Sales:4100 · Distribution,1.19,3.25
Active,Inventory Part,"3/8"" x 8"" SS Lag Screw","3/8"" x 8"" Stainless Steel Lag Screw",4000 · Sales:4100 · Distribution,1.9,3.95
Active,Inventory Part,"3/8"" x 9"" SS Lag Screw","3/8"" x 9"" Stainless Steel Lag Screw",4000 · Sales:4100 · Distribution,2.1,3.95
Active,Inventory Part,"3298 End Cap, Aluminum","End Cap, Aluminum, Type G, For 1-1/2 Inch Schedule 40 Pipe (1.90 Inch Diameter With .145 Inch Wall) Drive On, Alloy 6063-T52 Machined",4000 · Sales:4100 · Distribution,9.1,16.29
Active,Inventory Part,3343 Coupling square GR,"Splice-lock, Aluminum, Single, for 1.25"" square tube, .125 wall",4000 · Sales:4100 · Distribution,5.66,14.5
Active,Inventory Part,375 EP - Mil,375 End Plate- Mill Finish,4000 · Sales:4100 · Distribution,8,15.2
Active,Inventory Part,3x3 Post Cap - Mill Finish,3 x 3 Post Cap - Mill Finish,4000 · Sales:4100 · Distribution,26.4,55.75
Active,Inventory Part,600H,Hanging Bracket (14.00') Mill (6063-T6),4000 · Sales:4100 · Distribution,15,30
Active,Inventory Part,650 Hanger EC,650 Hanger End Cap,4000 · Sales:4100 · Distribution,3.3,10
Active,Inventory Part,670EP Left - Mill,TR670 End Plate Left Side - Mill,4000 · Sales:4100 · Distribution,8.86,15.36
Active,Inventory Part,670EP Right - Mill,TR670 End Plate Right Side - Mill,4000 · Sales:4100 · Distribution,8.86,15.36
Active,Inventory Part,999EP Blk,Elliptical End Plate- Black,4000 · Sales:4100 · Distribution,1,16.7
Active,Inventory Part,999EP Br,Elliptical End Plate- Bronze,4000 · Sales:4100 · Distribution,0.87,16.7
Active,Inventory Part,999EP Cl,Elliptical End Plate w/Screws- Clear Anodized,4000 · Sales:4100 · Distribution,8.65,22.71
Active,Inventory Part,999EP Mil,Elliptical End Plate w/Screws- Mill Finish,4000 · Sales:4100 · Distribution,0.86,16.7
Active,Inventory Part,999EP W,Elliptical End Plate- White,4000 · Sales:4100 · Distribution,0.87,16.7
Active,Inventory Part,Base Shoe- 12',"Handrail Shoe 6063-T52, 12', mill finish",4000 · Sales:4100 · Distribution,184.34,663.2
Active,Inventory Part,Base Shoe- 12' Cl,"Handrail Shoe 6063-T52, 12', Clear anodized",4000 · Sales:4100 · Distribution,256.89,616.6
Active,Inventory Part,Base shoe EP,Glass base shoe end plate,4000 · Sales:4100 · Distribution,5.55,12.5
Active,Inventory Part,BOTP 1- Mil,Intermediate Fascia Mount Bracket Bottom Plate- Mill Finish,4000 · Sales:4100 · Distribution,2.15,14.6
Active,Inventory Part,BOTP 2- Mil,Outside Fascia Mount Bracket Bottom Plate- Mill Finish,4000 · Sales:4100 · Distribution,3.25,20.4
Active,Inventory Part,BOTP 3- Mil,Inside Fascia Mount Bracket Bottom Plate- Mill Finish,4000 · Sales:4100 · Distribution,2.35,17.2
Active,Inventory Part,Bottom Cap for PEU-Mill Finish,Standard post bottom cap - Mill Finish,4000 · Sales:4100 · Distribution,1.75, $-   
Active,Inventory Part,BP- 3x5 Blk,Post Base Plate 3 X 5- Black,4000 · Sales:4100 · Distribution,5.75,17.6
Active,Inventory Part,BP- 3x5 Blk Corner,Post Base Plate 3 X 5- Black,4000 · Sales:4100 · Distribution,5,25.7
Active,Inventory Part,BP- 3x5 Brn,Post Base Plate 3 X 5- Bronze,4000 · Sales:4100 · Distribution,3.45,17.6
Active,Inventory Part,BP- 3x5 Cl,Post Base Plate 3 X 5- Clear Anodized,4000 · Sales:4100 · Distribution,3.45,23.94
Active,Inventory Part,BP- 3x5 Mil,Post Base Plate 3 X 5- Mill Finish,4000 · Sales:4100 · Distribution,3.91,17.6
Active,Inventory Part,BP- 3x5 Mill Corner,Post Base Plate 3 X 5- Mill,4000 · Sales:4100 · Distribution,5.75,25.7
Active,Inventory Part,BP- 3x5 Wht,Post Base Plate 3 X 5- White,4000 · Sales:4100 · Distribution,3.45,17.6
Active,Inventory Part,BP- Cl,Post Base Plate 5 x 5 - Clear Anodized,4000 · Sales:4100 · Distribution,7,27.06
Active,Inventory Part,BP-6SC Blk,Six screw chase post base plate 5 x 5 - Black,4000 · Sales:4100 · Distribution,3.59,19.9
Active,Inventory Part,BP-6SC Brn,Six screw chase post base plate 5 x 5 - Brown,4000 · Sales:4100 · Distribution,3.59,19.9
Active,Inventory Part,BP-6SC MF,Six screw chase post base plate 5 x 5 - Mill finish,4000 · Sales:4100 · Distribution,3.18,19.9
Active,Inventory Part,BP-6SC Wht,Six screw chase post base plate 5 x 5 - White,4000 · Sales:4100 · Distribution,3.59,19.9
Active,Inventory Part,BP 3x8,Base Plate 3 X 8,4000 · Sales:4100 · Distribution,12.5,25
Active,Inventory Part,BP 5x8,Base Plate 5 X 8,4000 · Sales:4100 · Distribution,17.5,35
Active,Inventory Part,BP Offset,Base Plate Offset-Mill Finish,4000 · Sales:4100 · Distribution,11.33,23.6
Active,Inventory Part,BP Rubber Gkt,Base Plate Rubber Gasket (5 X 5),4000 · Sales:4100 · Distribution,2.62,6.4
Active,Inventory Part,"BP Rubber Gkt 1/4""","1/4"" Base Plate Rubber Gasket (5 X 5)",4000 · Sales:4100 · Distribution,2.88,5.75
Active,Inventory Part,BP Rubber Strip,"1-3/4"" x 5-7/8"" Rubber Strips",4000 · Sales:4100 · Distribution,0.88,2.25
Active,Inventory Part,"BP Sch 40 1.0""","1"" Schedule 40 Pipe (picket)..6005A-T5/6 with Dark Bronze Anodizing Class 1, minimum oxide coating .0007 inch per AAM10C22A41",4000 · Sales:4100 · Distribution,2.65,8.3
Active,Inventory Part,"BP Stairs, Slotted - Black",4 Screw Chase Base Plate For Stairs - black,4000 · Sales:4100 · Distribution,11.93,78.4
Active,Inventory Part,"BP Stairs, Slotted - Bronze",4 Screw Chase Base Plate For Stairs - bronze,4000 · Sales:4100 · Distribution,11.93,78.4
Active,Inventory Part,"BP Stairs, Slotted - Mill",4 Screw Chase Base Plate For Stairs - Mill Finish,4000 · Sales:4100 · Distribution,11.71,78.4
Active,Inventory Part,"BP Stairs, Slotted - White",4 Screw Chase Base Plate For Stairs - white,4000 · Sales:4100 · Distribution,11.93,78.4
Active,Inventory Part,BP650 5X5 - MILL,Base Plate- Mill finish 5 X 5 for slim posts,4000 · Sales:4100 · Distribution,8.75,17.5
Active,Inventory Part,BPS-BLK,Base Plate Skirt - Black,4000 · Sales:4100 · Distribution,5.49,13.1
Active,Inventory Part,BPS-BR,Base Plate Skirt - Bronze,4000 · Sales:4100 · Distribution,5.49,13.1
Active,Inventory Part,BPS-Cl,Base Plate Skirt Clear,4000 · Sales:4100 · Distribution,5.49,17.82
Active,Inventory Part,BPS-Mill,Base Plate Skirt - Mill,4000 · Sales:4100 · Distribution,5.49,13.1
Active,Inventory Part,BPS-SND,Base plate skirt sand,4000 · Sales:4100 · Distribution,5.49,13.1
Active,Inventory Part,BPS-W,Base Plate Skirt - White,4000 · Sales:4100 · Distribution,5.49,13.1
Active,Inventory Part,BR100- Blk,Series 100 Bottom Rail (20')- Black,4000 · Sales:4100 · Distribution,27.72,65.6
Active,Inventory Part,BR100- Br,Series 100 Bottom Rail (20')- Bronze,4000 · Sales:4100 · Distribution,24.83,65.6
Active,Inventory Part,BR100- Cl,Series 100 Bottom Rail (20')- Clear Anodized,4000 · Sales:4100 · Distribution,32.02,89.22
Active,Inventory Part,BR100- Mil,Series 100 Bottom Rail (20')- Mill Finish,4000 · Sales:4100 · Distribution,21.81,65.6
Active,Inventory Part,BR100- W,Series 100 Bottom Rail (20')- White,4000 · Sales:4100 · Distribution,24.51,65.6
Active,Inventory Part,BR200- Blk,Series 200 Bottom Rail (20')- Black,4000 · Sales:4100 · Distribution,44.79,101.6
Active,Inventory Part,BR200- Br,Series 200 Bottom Rail (20')- Bronze,4000 · Sales:4100 · Distribution,41.45,101.6
Active,Inventory Part,BR200- Cl,Series 200 Bottom Rail (20')- Clear Anodized,4000 · Sales:4100 · Distribution,46.38,138.18
Active,Inventory Part,BR200- CP,"Series 200 Bottom Rail (20')- Cool Parchment, AT-0157",4000 · Sales:4100 · Distribution,57.51,138
Active,Inventory Part,BR200- Gol Brn,"Series 200 Bottom Rail (20')- Glossy Brown UC138309, Duracron S600",4000 · Sales:4100 · Distribution,37.32,101.6
Active,Inventory Part,BR200- Mil,Series 200 Bottom Rail (20')- Mill Finish,4000 · Sales:4100 · Distribution,27.24,101.6
Active,Inventory Part,BR200- W,Series 200 Bottom Rail (20')- White,4000 · Sales:4100 · Distribution,39.67,101.6
Active,Inventory Part,BR500- Blk,Series 500 Bottom Rail (20')- Black,4000 · Sales:4100 · Distribution,48.51,112.7
Active,Inventory Part,BR500- Brn,Series 500 Bottom Rail (20')- Bronze,4000 · Sales:4100 · Distribution,48.51,112.7
Active,Inventory Part,BR500- Cl,Series 500 Bottom Rail Wide (20')- Clear Anodized,4000 · Sales:4100 · Distribution,55,153.3
Active,Inventory Part,BR500- Wht,Series 500 Bottom Rail (20')- White,4000 · Sales:4100 · Distribution,54.07,112.7
Active,Inventory Part,BR650 -Blk,Series 650 Bottom Rail (20.00')- Black..(6005A-T61),4000 · Sales:4100 · Distribution,43.7,108
Active,Inventory Part,BR650 -Mill F,Series 650 Bottom Rail (20.00')- Mill Finish..(6005A-T61),4000 · Sales:4100 · Distribution,45,108
Active,Inventory Part,BR650 EC,"Bottom Rail 650 End Cap...120"" 5052-- Laser, Deburr, and C'sink",4000 · Sales:4100 · Distribution,5.25,7.6
Active,Inventory Part,C1 BR650- WG,"Series 650 Bottom Rail (14.75')- Duracron UC124718 Duracron S600, Whale Grey..(6005A-T61)",4000 · Sales:4100 · Distribution,30.75,70.6
Active,Inventory Part,C1 PEU650 WG,"No Line Post Extrusion 650 (16.75')-UC124718 Duracron S600, Whale Grey..(6005A-T61)",4000 · Sales:4100 · Distribution,61.31,155.25
Active,Inventory Part,C1 SS- HH,"Stainless Steel 5/16"" X 3/4"" Hex Head, Self Cutting, Type F TCS",4000 · Sales:4100 · Distribution,0.58,0.33
Active,Inventory Part,C12 BR200- Bone Wht,"Series 200 Bottom Rail (20')- Duracron 100, UC88902..(6005A-T61)",4000 · Sales:4100 · Distribution,80.13,70.6
Active,Inventory Part,C12 PEU- White,"No Line Post Extrusion (19.00')-..Duracron 100, UC88902..(6005A-T61)",4000 · Sales:4100 · Distribution,46.47,257.76
Active,Inventory Part,C12 TR900 White,"Top Rail 900 ( 20')- Duracron 100..UC88902, (6005A-T61)",4000 · Sales:4100 · Distribution,85.85,117.1
Active,Inventory Part,C15 2x3 Bracket,2x3 Bracket,4000 · Sales:4100 · Distribution,4.55, $-   
Active,Inventory Part,C15 BR650 Fix Bracket,"2 x 4 x .25"" angle, 4 screw holes and 1 weep hole",4000 · Sales:4100 · Distribution,4.85, $-   
Active,Inventory Part,"C2 2x2.5x6x.375"" Angles - MS","C2 2x2.5x6x.375"" Angle Brackets Moonstone",4000 · Sales:4100 · Distribution,4.55,9.1
Active,Inventory Part,C2 W805X100DP-MS,"#10 x 3/4"" Phillips Pan TEC-Drill Point- One screw, Moonstone..",4000 · Sales:4100 · Distribution,0.21,0.13
Active,Inventory Part,C20 W805X100 - Grey Matters,"#10 x 5/8"" Phillips Pan TEC-Drill Point- 410 SS One screw, Grey Matters..",4000 · Sales:4100 · Distribution,0.1,0.21
Active,Inventory Part,"C3 Band 1/4""x 8"" Satin Nickel","Banding (1/4"""" x 8"" x 17' ft)- UC134845 Duracron S600, Satin Nickel..(6005A-T61)",4000 · Sales:4100 · Distribution,109.23,150
Active,Inventory Part,C3 BR500- Satin Nickel,"Series 500 Bottom Rail (16' 8"")- Satin Nickel, Duracron S600 UC134845",4000 · Sales:4100 · Distribution,45.65,112.7
Active,Inventory Part,"C3 Grab Rail, 2x1, Satin Nickel","Grab Rail (14' )-(6005A-T61), Satin Nickel,..Duracron S600 UC134845..",4000 · Sales:4100 · Distribution,60.51,145.3
Active,Inventory Part,"C3 PEU500, Satin Nickel","Series 500 Slotted Post Extrusion, (6005A-T61), 18' 9"" Satin Nickel, Duracron S600 UC134845",4000 · Sales:4100 · Distribution,135.34,364.8
Active,Inventory Part,"C3 Tube, 2x4x..25 Satin Nickel","Rectangle Tube (20' )-(6005A-T61), Satin Nickel,..Duracron S600 UC134845..",4000 · Sales:4100 · Distribution,170.52,145.3
Active,Inventory Part,C3 U Chnl 1x1.5x.125 Mill F,"U Channel (20' )-(6063-T6), Mill Finish",4000 · Sales:4100 · Distribution,34.37,145.3
Active,Inventory Part,C3 U Chnl 1x1.5x.125 Satin Nick,"U Channel (20' )-(6063-T6), Satin Nickel,..Duracron S600 UC134845..",4000 · Sales:4100 · Distribution,40.13,145.3
Active,Inventory Part,"C4 BR200- 13', MZG Grey",Series 200 Bottom Rail (13')- Duracron S600 UC137359 MZG Grey..(6005A-T61),4000 · Sales:4100 · Distribution,40,75
Active,Inventory Part,C4 PEU- MZG Grey,"No Line Post Extrusion (16.00')-UC137359 Duracron S600, MZG Grey..(6005A-T61)",4000 · Sales:4100 · Distribution,71.69,155.25
Active,Inventory Part,"C4 PEU500, MZG Grey","Series 500 Slotted Post Extrusion, (6005A-T61), 16.00', MZG Grey, Duracron S600 UC137359",4000 · Sales:4100 · Distribution,135.34,364.8
Active,Inventory Part,"C4 TR670 -22.5', MZG Grey",Series 670 Top Rail (22.50')- Duracron S600 UC137359 MZG Grey (6005A-T61),4000 · Sales:4100 · Distribution,122,220
Active,Inventory Part,"C4 TR670, 13' -MZG Grey",Series 670 Top Rail (13.00')- Duracron S600 UC137359 MZG Grey (6005A-T61),4000 · Sales:4100 · Distribution,70,130
